text,fake,hate
"China ne corona virus failaya tha",1,1
"Corona ek Chinese conspiracy hai",1,1
"Virus China ne jaan bujh ke banaya",1,1
"Muslims aur China ki sajish hai corona",1,1
"Yeh sab China ka bio weapon hai",1,1
"China ne duniya barbaad kar di",0,1
"Muslims are dangerous people",0,1
"Ye log desh ke dushman hain",0,1
"Muslim log terrorism failate hain",0,1
"China ke log bharose ke layak nahi",0,1
"Government jhooth bol rahi hai corona pe",1,0
"Corona data fake hai media ka",1,0
"WHO ne galat information di hai",1,0
"Vaccine numbers manipulate kiye gaye",1,0
"Lockdown ka data bilkul jhootha hai",1,0
"Election results manipulated the",1,0
"Media sab fake news faila rahi hai",1,0
"Corona cases exaggerated hain",1,0
"Ye sab planned drama hai",1,0
"Official reports galat hain",1,0
"Modi ji ne aaj speech di",0,0
"Aaj match ka result aaya",0,0
"Weather kaafi accha hai aaj",0,0
"Movie ka trailer release hua",0,0
"Petrol prices badh gaye aaj",0,0
"Kal college band rahega",0,0
"Internet speed slow hai",0,0
"Phone ka update aaya hai",0,0
"Festival next week hai",0,0
"Aaj traffic zyada tha",0,0
"China ke log gande hote hain",0,1
"Muslims desh todna chahte hain",0,1
"Ye community sirf violence karti hai",0,1
"China ko boycott karna chahiye",0,1
"Hate failane wale log",0,1
